column_name,category
Wellnesshotel,wellness_spa
Wellnesslounge/Ruhebereich,wellness_spa
Whirlpool,wellness_spa
Whirlpool-Badewanne,room_amenities
Whirlpool/Jacuzzi,wellness_spa
Wickeltisch,other_amenity
Wohnzimmer,room_amenities
Wäsche wird nach regionalem Standard gewaschen,room_amenities
Yoga,other_amenity
Zahnbürste,other_amenity
Zeitlicher Abstand zwischen Aufenthalten von Gästen eingeführt,other_amenity
Zeitung,other_amenity
Zeitungen in der Lobby,other_amenity
Zimmer mit Verbindungstür,room_amenities
Zimmerreinigung,room_amenities
Zimmerreinigung (eingeschränkt),room_amenities
Zimmerservice,room_amenities
Zimmerservice (eingeschränkt),room_amenities
Zugang über außengelegene Gänge,accessibility
Zustellbett auf Anfrage,room_amenities
Zustellbetten,room_amenities
direkter Strandzugang (privater Strand),accessibility
iPod-Dockingstation,room_amenities
ländlich,other_amenity
Übergroße Badewanne,room_amenities
